soc2d,soc2d_label,soc3d,soc3d_label,soc5d,soc5d_label,soc6d,soc6d_label,soc8d,soc8d_label
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technicians, Except Drafters",17-3029,"Engineering Technicians, Except Drafters, All Other",17-3029.08,Photonics Technicians
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technicians, Except Drafters",17-3029,"Engineering Technicians, Except Drafters, All Other",17-3029.09,Manufacturing Production Technicians
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technicians, Except Drafters",17-3029,"Engineering Technicians, Except Drafters, All Other",17-3029.10,Fuel Cell Technicians
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technicians, Except Drafters",17-3029,"Engineering Technicians, Except Drafters, All Other",17-3029.11,Nanotechnology Engineering Technologists
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3020,"Engineering Technicians, Except Drafters",17-3029,"Engineering Technicians, Except Drafters, All Other",17-3029.12,Nanotechnology Engineering Technicians
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3030,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians,17-3031.00,Surveying and Mapping Technicians
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3030,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians,17-3031.01,Surveying Technicians
17-0000,Architecture and Engineering Occupations,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",17-3030,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians,17-3031.02,Mapping Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1010,Agricultural and Food Scientists,19-1011,Animal Scientists,19-1011.00,Animal Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1010,Agricultural and Food Scientists,19-1012,Food Scientists and Technologists,19-1012.00,Food Scientists and Technologists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1010,Agricultural and Food Scientists,19-1013,Soil and Plant Scientists,19-1013.00,Soil and Plant Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1020,Biologist,19-1020.01,Biologists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1021,Biochemists and Biophysicists,19-1021.00,Biochemists and Biophysicists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1022,Microbiologists,19-1022.00,Microbiologists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1023,Zoologists and Wildlife Biologists,19-1023.00,Zoologists and Wildlife Biologists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1029,"Biological Scientists, All Other",19-1029.00,"Biological Scientists, All Other"
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1029,"Biological Scientists, All Other",19-1029.01,Bioinformatics Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1029,"Biological Scientists, All Other",19-1029.02,Molecular and Cellular Biologists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1020,Biological Scientists,19-1029,"Biological Scientists, All Other",19-1029.03,Geneticists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,19-1031,Conservation Scientists,19-1031.00,Conservation Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,19-1031,Conservation Scientists,19-1031.01,Soil and Water Conservationists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,19-1031,Conservation Scientists,19-1031.02,Range Managers
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,19-1031,Conservation Scientists,19-1031.03,Park Naturalists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1030,Conservation Scientists and Foresters,19-1032,Foresters,19-1032.00,Foresters
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1040,Medical Scientists,19-1041,Epidemiologists,19-1041.00,Epidemiologists
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1040,Medical Scientists,19-1042,"Medical Scientists, Except Epidemiologists",19-1042.00,"Medical Scientists, Except Epidemiologists"
19-0000,"Life, Physical, and Social Science Occupations",19-1000,Life Scientists,19-1090,Miscellaneous Life Scientists,19-1099,"Life Scientists, All Other",19-1099.00,"Life Scientists, All Other"
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2010,Astronomers and Physicists,19-2011,Astronomers,19-2011.00,Astronomers
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2010,Astronomers and Physicists,19-2012,Physicists,19-2012.00,Physicists
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2020,Atmospheric and Space Scientists,19-2021,Atmospheric and Space Scientists,19-2021.00,Atmospheric and Space Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2030,Chemists and Materials Scientists,19-2031,Chemists,19-2031.00,Chemists
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2030,Chemists and Materials Scientists,19-2032,Materials Scientists,19-2032.00,Materials Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,19-2041,"Environmental Scientists and Specialists, Including Health",19-2041.00,"Environmental Scientists and Specialists, Including Health"
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,19-2041,"Environmental Scientists and Specialists, Including Health",19-2041.01,Climate Change Analysts
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,19-2041,"Environmental Scientists and Specialists, Including Health",19-2041.02,Environmental Restoration Planners
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,19-2041,"Environmental Scientists and Specialists, Including Health",19-2041.03,Industrial Ecologists
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,19-2042,"Geoscientists, Except Hydrologists and Geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2040,Environmental Scientists and Geoscientists,19-2043,Hydrologists,19-2043.00,Hydrologists
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2090,Miscellaneous Physical Scientists,19-2099,"Physical Scientists, All Other",19-2099.00,"Physical Scientists, All Other"
19-0000,"Life, Physical, and Social Science Occupations",19-2000,Physical Scientists,19-2090,Miscellaneous Physical Scientists,19-2099,"Physical Scientists, All Other",19-2099.01,Remote Sensing Scientists and Technologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3010,Economists,19-3011,Economists,19-3011.00,Economists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3010,Economists,19-3011,Economists,19-3011.01,Environmental Economists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3020,Survey Researchers,19-3022,Survey Researchers,19-3022.00,Survey Researchers
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists"
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists",19-3031.01,School Psychologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists",19-3031.02,Clinical Psychologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists",19-3031.03,Counseling Psychologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3032,Industrial-Organizational Psychologists,19-3032.00,Industrial-Organizational Psychologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3039,"Psychologists, All Other",19-3039.00,"Psychologists, All Other"
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3030,Psychologists,19-3039,"Psychologists, All Other",19-3039.01,Neuropsychologists and Clinical Neuropsychologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3040,Sociologists,19-3041,Sociologists,19-3041.00,Sociologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3050,Urban and Regional Planners,19-3051,Urban and Regional Planners,19-3051.00,Urban and Regional Planners
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3091,Anthropologists and Archeologists,19-3091.00,Anthropologists and Archeologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3091,Anthropologists and Archeologists,19-3091.01,Anthropologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3091,Anthropologists and Archeologists,19-3091.02,Archeologists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3092,Geographers,19-3092.00,Geographers
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3093,Historians,19-3093.00,Historians
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3094,Political Scientists,19-3094.00,Political Scientists
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3099,"Social Scientists and Related Workers, All Other",19-3099.00,"Social Scientists and Related Workers, All Other"
19-0000,"Life, Physical, and Social Science Occupations",19-3000,Social Scientists and Related Workers,19-3090,Miscellaneous Social Scientists and Related Workers,19-3099,"Social Scientists and Related Workers, All Other",19-3099.01,Transportation Planners
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4010,Agricultural and Food Science Technicians,19-4011,Agricultural and Food Science Technicians,19-4011.00,Agricultural and Food Science Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4010,Agricultural and Food Science Technicians,19-4011,Agricultural and Food Science Technicians,19-4011.01,Agricultural Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4010,Agricultural and Food Science Technicians,19-4011,Agricultural and Food Science Technicians,19-4011.02,Food Science Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4020,Biological Technicians,19-4021,Biological Technicians,19-4021.00,Biological Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4030,Chemical Technicians,19-4031,Chemical Technicians,19-4031.00,Chemical Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4040,Geological and Petroleum Technicians,19-4041,Geological and Petroleum Technicians,19-4041.00,Geological and Petroleum Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4040,Geological and Petroleum Technicians,19-4041,Geological and Petroleum Technicians,19-4041.01,Geophysical Data Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4040,Geological and Petroleum Technicians,19-4041,Geological and Petroleum Technicians,19-4041.02,Geological Sample Test Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4050,Nuclear Technicians,19-4051,Nuclear Technicians,19-4051.00,Nuclear Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4050,Nuclear Technicians,19-4051,Nuclear Technicians,19-4051.01,Nuclear Equipment Operation Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4050,Nuclear Technicians,19-4051,Nuclear Technicians,19-4051.02,Nuclear Monitoring Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4060,Social Science Research Assistants,19-4061,Social Science Research Assistants,19-4061.00,Social Science Research Assistants
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4060,Social Science Research Assistants,19-4061,Social Science Research Assistants,19-4061.01,City and Regional Planning Aides
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4091,"Environmental Science and Protection Technicians, Including Health",19-4091.00,"Environmental Science and Protection Technicians, Including Health"
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4092,Forensic Science Technicians,19-4092.00,Forensic Science Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4093,Forest and Conservation Technicians,19-4093.00,Forest and Conservation Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4099,"Life, Physical, and Social Science Technicians, All Other",19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4099,"Life, Physical, and Social Science Technicians, All Other",19-4099.01,Quality Control Analysts
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4099,"Life, Physical, and Social Science Technicians, All Other",19-4099.02,Precision Agriculture Technicians
19-0000,"Life, Physical, and Social Science Occupations",19-4000,"Life, Physical, and Social Science Technicians",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",19-4099,"Life, Physical, and Social Science Technicians, All Other",19-4099.03,Remote Sensing Technicians
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,21-1012,"Educational, Guidance, School, and Vocational Counselors",21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,21-1013,Marriage and Family Therapists,21-1013.00,Marriage and Family Therapists
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,21-1014,Mental Health Counselors,21-1014.00,Mental Health Counselors
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,21-1015,Rehabilitation Counselors,21-1015.00,Rehabilitation Counselors
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1010,Counselors,21-1019,"Counselors, All Other",21-1019.00,"Counselors, All Other"
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,21-1021,"Child, Family, and School Social Workers",21-1021.00,"Child, Family, and School Social Workers"
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,21-1022,Healthcare Social Workers,21-1022.00,Healthcare Social Workers
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,21-1023,Mental Health and Substance Abuse Social Workers,21-1023.00,Mental Health and Substance Abuse Social Workers
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1020,Social Workers,21-1029,"Social Workers, All Other",21-1029.00,"Social Workers, All Other"
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,21-1091,Health Educators,21-1091.00,Health Educators
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,21-1092,Probation Officers and Correctional Treatment Specialists,21-1092.00,Probation Officers and Correctional Treatment Specialists
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,21-1093,Social and Human Service Assistants,21-1093.00,Social and Human Service Assistants
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,21-1094,Community Health Workers,21-1094.00,Community Health Workers
21-0000,Community and Social Service Occupations,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1090,Miscellaneous Community and Social Service Specialists,21-1099,"Community and Social Service Specialists, All Other",21-1099.00,"Community and Social Service Specialists, All Other"
21-0000,Community and Social Service Occupations,21-2000,Religious Workers,21-2010,Clergy,21-2011,Clergy,21-2011.00,Clergy
21-0000,Community and Social Service Occupations,21-2000,Religious Workers,21-2020,"Directors, Religious Activities and Education",21-2021,"Directors, Religious Activities and Education",21-2021.00,"Directors, Religious Activities and Education"
21-0000,Community and Social Service Occupations,21-2000,Religious Workers,21-2090,Miscellaneous Religious Workers,21-2099,"Religious Workers, All Other",21-2099.00,"Religious Workers, All Other"
23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1010,Lawyers and Judicial Law Clerks,23-1011,Lawyers,23-1011.00,Lawyers
23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1010,Lawyers and Judicial Law Clerks,23-1012,Judicial Law Clerks,23-1012.00,Judicial Law Clerks
23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1020,"Judges, Magistrates, and Other Judicial Workers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1020,"Judges, Magistrates, and Other Judicial Workers",23-1022,"Arbitrators, Mediators, and Conciliators",23-1022.00,"Arbitrators, Mediators, and Conciliators"
23-0000,Legal Occupations,23-1000,"Lawyers, Judges, and Related Workers",23-1020,"Judges, Magistrates, and Other Judicial Workers",23-1023,"Judges, Magistrate Judges, and Magistrates",23-1023.00,"Judges, Magistrate Judges, and Magistrates"
23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2010,Paralegals and Legal Assistants,23-2011,Paralegals and Legal Assistants,23-2011.00,Paralegals and Legal Assistants
23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2090,Miscellaneous Legal Support Workers,23-2091,Court Reporters,23-2091.00,Court Reporters
23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2090,Miscellaneous Legal Support Workers,23-2093,"Title Examiners, Abstractors, and Searchers",23-2093.00,"Title Examiners, Abstractors, and Searchers"
23-0000,Legal Occupations,23-2000,Legal Support Workers,23-2090,Miscellaneous Legal Support Workers,23-2099,"Legal Support Workers, All Other",23-2099.00,"Legal Support Workers, All Other"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1010,"Business Teachers, Postsecondary",25-1011,"Business Teachers, Postsecondary",25-1011.00,"Business Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1020,"Math and Computer Teachers, Postsecondary",25-1021,"Computer Science Teachers, Postsecondary",25-1021.00,"Computer Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1020,"Math and Computer Teachers, Postsecondary",25-1022,"Mathematical Science Teachers, Postsecondary",25-1022.00,"Mathematical Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1030,"Engineering and Architecture Teachers, Postsecondary",25-1031,"Architecture Teachers, Postsecondary",25-1031.00,"Architecture Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1030,"Engineering and Architecture Teachers, Postsecondary",25-1032,"Engineering Teachers, Postsecondary",25-1032.00,"Engineering Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1040,"Life Sciences Teachers, Postsecondary",25-1041,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1040,"Life Sciences Teachers, Postsecondary",25-1042,"Biological Science Teachers, Postsecondary",25-1042.00,"Biological Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1040,"Life Sciences Teachers, Postsecondary",25-1043,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",25-1052,"Chemistry Teachers, Postsecondary",25-1052.00,"Chemistry Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",25-1053,"Environmental Science Teachers, Postsecondary",25-1053.00,"Environmental Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1050,"Physical Sciences Teachers, Postsecondary",25-1054,"Physics Teachers, Postsecondary",25-1054.00,"Physics Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1061,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1063,"Economics Teachers, Postsecondary",25-1063.00,"Economics Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1064,"Geography Teachers, Postsecondary",25-1064.00,"Geography Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1065,"Political Science Teachers, Postsecondary",25-1065.00,"Political Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1066,"Psychology Teachers, Postsecondary",25-1066.00,"Psychology Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1067,"Sociology Teachers, Postsecondary",25-1067.00,"Sociology Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1060,"Social Sciences Teachers, Postsecondary",25-1069,"Social Sciences Teachers, Postsecondary, All Other",25-1069.00,"Social Sciences Teachers, Postsecondary, All Other"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1070,"Health Teachers, Postsecondary",25-1071,"Health Specialties Teachers, Postsecondary",25-1071.00,"Health Specialties Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1070,"Health Teachers, Postsecondary",25-1072,"Nursing Instructors and Teachers, Postsecondary",25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1080,"Education and Library Science Teachers, Postsecondary",25-1081,"Education Teachers, Postsecondary",25-1081.00,"Education Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1080,"Education and Library Science Teachers, Postsecondary",25-1082,"Library Science Teachers, Postsecondary",25-1082.00,"Library Science Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1112,"Law Teachers, Postsecondary",25-1112.00,"Law Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1113,"Social Work Teachers, Postsecondary",25-1113.00,"Social Work Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",25-1121,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",25-1122,"Communications Teachers, Postsecondary",25-1122.00,"Communications Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",25-1123,"English Language and Literature Teachers, Postsecondary",25-1123.00,"English Language and Literature Teachers, Postsecondary"
25-0000,"Education, Training, and Library Occupations",25-1000,Postsecondary Teachers,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
